year,variable,label,concept
2005,B07011_001,Estimate!!Median income in the past 12 months!!Total,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2005 INFLATION-ADJUSTED DOLLARS) BY RESIDENCE 1 YEAR AGO IN THE UNITED STATES
2005,B07011_002,Estimate!!Median income in the past 12 months!!Total!!Same house 1 year ago,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2005 INFLATION-ADJUSTED DOLLARS) BY RESIDENCE 1 YEAR AGO IN THE UNITED STATES
2005,B07011_003,Estimate!!Median income in the past 12 months!!Total!!Moved within same county,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2005 INFLATION-ADJUSTED DOLLARS) BY RESIDENCE 1 YEAR AGO IN THE UNITED STATES
2005,B07011_004,Estimate!!Median income in the past 12 months!!Total!!Moved from different county within same state,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2005 INFLATION-ADJUSTED DOLLARS) BY RESIDENCE 1 YEAR AGO IN THE UNITED STATES
2005,B07011_005,Estimate!!Median income in the past 12 months!!Total!!Moved from different state,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2005 INFLATION-ADJUSTED DOLLARS) BY RESIDENCE 1 YEAR AGO IN THE UNITED STATES
2005,B07011_006,Estimate!!Median income in the past 12 months!!Total!!Moved from abroad,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2005 INFLATION-ADJUSTED DOLLARS) BY RESIDENCE 1 YEAR AGO IN THE UNITED STATES
2006,B07011_001,Estimate!!Median income in the past 12 months!!Total,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2006 INFLATION-ADJUSTED DOLLARS) BY RESIDENCE 1 YEAR AGO IN THE UNITED STATES
2006,B07011_002,Estimate!!Median income in the past 12 months!!Total!!Same house 1 year ago,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2006 INFLATION-ADJUSTED DOLLARS) BY RESIDENCE 1 YEAR AGO IN THE UNITED STATES
2006,B07011_003,Estimate!!Median income in the past 12 months!!Total!!Moved within same county,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2006 INFLATION-ADJUSTED DOLLARS) BY RESIDENCE 1 YEAR AGO IN THE UNITED STATES
2006,B07011_004,Estimate!!Median income in the past 12 months!!Total!!Moved from different county within same state,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2006 INFLATION-ADJUSTED DOLLARS) BY RESIDENCE 1 YEAR AGO IN THE UNITED STATES
2006,B07011_005,Estimate!!Median income in the past 12 months!!Total!!Moved from different state,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2006 INFLATION-ADJUSTED DOLLARS) BY RESIDENCE 1 YEAR AGO IN THE UNITED STATES
2006,B07011_006,Estimate!!Median income in the past 12 months!!Total!!Moved from abroad,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2006 INFLATION-ADJUSTED DOLLARS) BY RESIDENCE 1 YEAR AGO IN THE UNITED STATES
2007,B07011_001,Estimate!!Median income in the past 12 months!!Total,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2007,B07011_002,Estimate!!Median income in the past 12 months!!Total!!Same house 1 year ago,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
2007,B07011_003,Estimate!!Median income in the past 12 months!!Total!!Moved within same county,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES
