year,variable,label,concept
2005,B25107_001,Estimate!!Median value!!Total,MEDIAN VALUE BY YEAR STRUCTURE BUILT
2005,B25107_002,Estimate!!Median value!!Total!!Built 2005 or later,MEDIAN VALUE BY YEAR STRUCTURE BUILT
2005,B25107_003,Estimate!!Median value!!Total!!Built 2000 to 2004,MEDIAN VALUE BY YEAR STRUCTURE BUILT
2005,B25107_004,Estimate!!Median value!!Total!!Built 1990 to 1999,MEDIAN VALUE BY YEAR STRUCTURE BUILT
2005,B25107_005,Estimate!!Median value!!Total!!Built 1980 to 1989,MEDIAN VALUE BY YEAR STRUCTURE BUILT
2005,B25107_006,Estimate!!Median value!!Total!!Built 1970 to 1979,MEDIAN VALUE BY YEAR STRUCTURE BUILT
2005,B25107_007,Estimate!!Median value!!Total!!Built 1960 to 1969,MEDIAN VALUE BY YEAR STRUCTURE BUILT
2005,B25107_008,Estimate!!Median value!!Total!!Built 1950 to 1959,MEDIAN VALUE BY YEAR STRUCTURE BUILT
2005,B25107_009,Estimate!!Median value!!Total!!Built 1940 to 1949,MEDIAN VALUE BY YEAR STRUCTURE BUILT
2005,B25107_010,Estimate!!Median value!!Total!!Built 1939 or earlier,MEDIAN VALUE BY YEAR STRUCTURE BUILT
2006,B25107_001,Estimate!!Median value!!Total,MEDIAN VALUE BY YEAR STRUCTURE BUILT
2006,B25107_002,Estimate!!Median value!!Total!!Built 2005 or later,MEDIAN VALUE BY YEAR STRUCTURE BUILT
2006,B25107_003,Estimate!!Median value!!Total!!Built 2000 to 2004,MEDIAN VALUE BY YEAR STRUCTURE BUILT
2006,B25107_004,Estimate!!Median value!!Total!!Built 1990 to 1999,MEDIAN VALUE BY YEAR STRUCTURE BUILT
2006,B25107_005,Estimate!!Median value!!Total!!Built 1980 to 1989,MEDIAN VALUE BY YEAR STRUCTURE BUILT
2006,B25107_006,Estimate!!Median value!!Total!!Built 1970 to 1979,MEDIAN VALUE BY YEAR STRUCTURE BUILT
