year,variable,label,concept
2005,B25106_001,Estimate!!Total,TENURE BY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS
2005,B25106_002,Estimate!!Total!!Owner-occupied housing units,TENURE BY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS
2005,B25106_003,"Estimate!!Total!!Owner-occupied housing units!!Less than $20,000",TENURE BY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS
2005,B25106_004,"Estimate!!Total!!Owner-occupied housing units!!Less than $20,000!!Less than 20 percent",TENURE BY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS
2005,B25106_005,"Estimate!!Total!!Owner-occupied housing units!!Less than $20,000!!20 to 29 percent",TENURE BY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS
2005,B25106_006,"Estimate!!Total!!Owner-occupied housing units!!Less than $20,000!!30 percent or more",TENURE BY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS
2005,B25106_007,"Estimate!!Total!!Owner-occupied housing units!!$20,000 to $34,999",TENURE BY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS
2005,B25106_008,"Estimate!!Total!!Owner-occupied housing units!!$20,000 to $34,999!!Less than 20 percent",TENURE BY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS
2005,B25106_009,"Estimate!!Total!!Owner-occupied housing units!!$20,000 to $34,999!!20 to 29 percent",TENURE BY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS
2005,B25106_010,"Estimate!!Total!!Owner-occupied housing units!!$20,000 to $34,999!!30 percent or more",TENURE BY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS
2005,B25106_011,"Estimate!!Total!!Owner-occupied housing units!!$35,000 to $49,999",TENURE BY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS
